 Year ,Company Name,Country,GICS Sub-Industry, Industry (Exiobase) ,Environmental Intensity (Sales),Environmental Intensity (Op Inc), Total Environmental Cost , Working Capacity , Fish Production Capacity , Crop Production Capacity , Meat Production Capacity , Biodiversity , Abiotic Resources , Water production capacity (Drinking water & Irrigation Water) , Wood Production Capacity ,% Imputed
2013,MERCK & CO,UNITED STATES OF AMERICA,Pharmaceuticals," Manufacture of medical, precision and optical instruments, watches and clocks (33) ",-0.01,-0.07,"-652,760,264","-579,293,689","-135,302","-7,561,009","-1,766,622","-24,239","-106,712","-63,878,196","5,505",3%
2012,MERCK & CO,UNITED STATES OF AMERICA,Pharmaceuticals," Manufacture of medical, precision and optical instruments, watches and clocks (33) ",-0.02,-0.07,"-723,810,345","-617,330,011","-144,102","-8,056,368","-1,880,909","-25,817","-116,565","-96,262,314","5,741",3%
2011,MERCK & CO,UNITED STATES OF AMERICA,Pharmaceuticals," Manufacture of medical, precision and optical instruments, watches and clocks (33) ",-0.02,-0.07,"-739,904,723","-654,166,103","-152,671","-8,514,098","-1,987,349","-27,276","-135,190","-74,925,913","3,877",4%
2010,MERCK & CO,UNITED STATES OF AMERICA,Pharmaceuticals," Manufacture of medical, precision and optical instruments, watches and clocks (33) ",-0.02,-0.10,"-731,019,959","-647,323,286","-151,870","-8,450,483","-1,970,854","-27,092","-121,290","-72,981,613","6,530",3%
2019,META PLATFORMS INC,UNITED STATES OF AMERICA,Interactive Media & Services,"Recreational, cultural and sporting activities (92)",-0.01,-0.02,"-633,579,444","-620,815,698","-139,507","-7,597,306","-1,770,700","-24,736","-88,427","-3,120,505","-22,565",18%
2017,META PLATFORMS INC,UNITED STATES OF AMERICA,Interactive Media & Services,"Recreational, cultural and sporting activities (92)",-0.01,-0.02,"-329,557,826","-311,115,475","-69,730","-3,758,593","-875,173","-12,315","-50,848","-13,662,716","-12,976",20%
2016,META PLATFORMS INC,UNITED STATES OF AMERICA,Interactive Media & Services,"Recreational, cultural and sporting activities (92)",-0.01,-0.02,"-231,435,077","-215,056,236","-48,217","-2,602,418","-606,038","-8,520","-34,569","-13,070,258","-8,822",19%
2015,META PLATFORMS INC,UNITED STATES OF AMERICA,Interactive Media & Services," Recreational, cultural and sporting activities (92) ",-0.01,-0.03,"-167,019,480","-155,395,747","-34,916","-1,900,782","-442,999","-6,190","-22,254","-9,210,913","-5,679",17%
2014,META PLATFORMS INC,UNITED STATES OF AMERICA,Interactive Media & Services," Recreational, cultural and sporting activities (92) ",-0.01,-0.03,"-156,790,610","-146,662,212","-33,142","-1,844,322","-430,710","-5,927","-14,248","-7,796,414","-3,636",12%
2013,META PLATFORMS INC,UNITED STATES OF AMERICA,Interactive Media & Services," Recreational, cultural and sporting activities (92) ",-0.02,-0.04,"-122,725,282","-120,153,912","-27,249","-1,536,999","-359,377","-4,899","-8,182","-632,575","-2,088",9%
2012,META PLATFORMS INC,UNITED STATES OF AMERICA,Interactive Media & Services," Recreational, cultural and sporting activities (92) ",-0.02,-0.19,"-101,963,174","-99,812,285","-22,673","-1,286,574","-300,985","-4,086","-5,485","-529,687","-1,400",7%
2011,META PLATFORMS INC,UNITED STATES OF AMERICA,Interactive Media & Services," Recreational, cultural and sporting activities (92) ",-0.02,-0.04,"-73,330,807","-71,791,106","-16,290","-920,538","-215,274","-2,931","-4,595","-378,901","-1,172",9%
2019,METTLER-TOLEDO INTL INC,UNITED STATES OF AMERICA,Life Sciences Tools & Services,Research and development (73),-0.01,-0.03,"-21,128,374","-20,702,992","-4,632","-252,728","-57,777",-819,"-3,968","-104,751",-706,22%
2018,METTLER-TOLEDO INTL INC,UNITED STATES OF AMERICA,Life Sciences Tools & Services,Research and development (73),-0.01,-0.04,"-24,006,287","-23,179,260","-5,200","-286,211","-65,663",-924,"-3,872","-464,468",-689,20%
2017,METTLER-TOLEDO INTL INC,UNITED STATES OF AMERICA,Life Sciences Tools & Services,Research and development (73),-0.01,-0.04,"-21,654,708","-19,859,399","-4,448","-243,641","-55,785",-788,"-3,594","-1,486,413",-640,20%
2016,METTLER-TOLEDO INTL INC,UNITED STATES OF AMERICA,Life Sciences Tools & Services, Research and development (73) ,-0.01,-0.04,"-19,631,183","-18,791,552","-4,212","-231,068","-52,944",-747,"-3,308","-546,764",-589,20%
2015,METTLER-TOLEDO INTL INC,UNITED STATES OF AMERICA,Life Sciences Tools & Services, Research and development (73) ,-0.01,-0.04,"-19,627,206","-18,677,037","-4,190","-230,508","-52,875",-744,"-3,139","-658,154",-559,20%
2014,METTLER-TOLEDO INTL INC,UNITED STATES OF AMERICA,Life Sciences Tools & Services, Research and development (73) ,-0.01,-0.04,"-19,972,829","-18,862,539","-4,236","-233,720","-53,677",-753,"-3,009","-814,361",-535,18%
2013,METTLER-TOLEDO INTL INC,UNITED STATES OF AMERICA,Life Sciences Tools & Services, Research and development (73) ,-0.01,-0.05,"-21,155,646","-19,886,801","-4,480","-249,523","-57,524",-800,"-2,626","-953,425",-467,16%
2012,METTLER-TOLEDO INTL INC,UNITED STATES OF AMERICA,Life Sciences Tools & Services, Research and development (73) ,-0.01,-0.05,"-22,367,936","-21,352,023","-4,814","-268,779","-62,024",-860,"-2,667","-676,295",-475,15%
2011,METTLER-TOLEDO INTL INC,UNITED STATES OF AMERICA,Life Sciences Tools & Services, Research and development (73) ,-0.01,-0.06,"-21,763,724","-20,746,577","-4,666","-258,717","-59,534",-831,"-3,019","-689,842",-537,17%
2010,METTLER-TOLEDO INTL INC,UNITED STATES OF AMERICA,Life Sciences Tools & Services, Research and development (73) ,-0.01,-0.06,"-20,455,381","-20,034,278","-4,517","-252,268","-58,219",-807,"-2,488","-102,361",-443,15%
2016,MGE ENERGY INC,UNITED STATES OF AMERICA,Electric Utilities, Production of electricity nec ,-1.60,-6.80,"-871,473,812","-852,634,154","-206,597","-11,272,606","-2,638,057","-36,752","-82,377","-4,638,472","35,204",7%
2019,MGM RESORTS INTERNATIONAL,UNITED STATES OF AMERICA,Casinos & Gaming,"Recreational, cultural and sporting activities (92)",-0.03,-0.25,"-349,628,579","-309,763,320","-70,404","-4,003,517","-936,769","-12,698","-15,588","-34,822,304","-3,978",6%
2018,MGM RESORTS INTERNATIONAL,UNITED STATES OF AMERICA,Casinos & Gaming,"Recreational, cultural and sporting activities (92)",-0.03,-0.25,"-337,261,419","-261,461,978","-59,398","-3,371,619","-788,788","-10,706","-14,181","-71,551,131","-3,619",6%
2016,MGM RESORTS INTERNATIONAL,UNITED STATES OF AMERICA,Casinos & Gaming,"Recreational, cultural and sporting activities (92)",-0.16,-1.12,"-1,434,399,834","-220,854,842","-50,191","-2,852,818","-667,494","-9,051","-11,330","-1,209,951,218","-2,891",1%
2012,MGM RESORTS INTERNATIONAL,UNITED STATES OF AMERICA,Casinos & Gaming," Recreational, cultural and sporting activities (92) ",-0.04,-0.40,"-337,647,516","-314,360,218","-71,626","-4,110,141","-962,488","-12,966","-9,488","-18,118,168","-2,421",4%
2011,MGM RESORTS INTERNATIONAL,UNITED STATES OF AMERICA,Casinos & Gaming," Recreational, cultural and sporting activities (92) ",-0.04,-0.51,"-329,993,725","-306,527,952","-69,828","-4,004,255","-937,636","-12,637","-9,718","-18,429,218","-2,480",4%
2018,MICROCHIP TECHNOLOGY INC,UNITED STATES OF AMERICA,Semiconductors,Manufacture of electrical machinery and apparatus n.e.c. (31),-0.07,-0.27,"-259,924,492","-235,830,780","-55,463","-3,114,877","-728,130","-9,947","-642,819","-19,546,815","4,338",4%
2017,MICROCHIP TECHNOLOGY INC,UNITED STATES OF AMERICA,Semiconductors,Manufacture of electrical machinery and apparatus n.e.c. (31),-0.08,-0.69,"-260,144,158","-236,129,210","-55,310","-3,121,954","-730,098","-9,940","-550,292","-19,551,068","3,714",4%
2016,MICROCHIP TECHNOLOGY INC,UNITED STATES OF AMERICA,Semiconductors, Manufacture of electrical machinery and apparatus n.e.c. (31) ,-0.12,-0.74,"-264,790,794","-242,982,106","-56,403","-3,219,791","-753,700","-10,185","-350,949","-17,420,028","2,369",2%
2015,MICROCHIP TECHNOLOGY INC,UNITED STATES OF AMERICA,Semiconductors, Manufacture of electrical machinery and apparatus n.e.c. (31) ,-0.06,-0.30,"-127,204,493","-114,022,158","-26,892","-1,504,936","-351,684","-4,816","-342,966","-10,953,357","2,315",5%
2014,MICROCHIP TECHNOLOGY INC,UNITED STATES OF AMERICA,Semiconductors, Manufacture of electrical machinery and apparatus n.e.c. (31) ,-0.07,-0.27,"-126,658,958","-112,280,210","-26,353","-1,483,759","-346,917","-4,731","-283,701","-12,235,202","1,915",4%
2013,MICROCHIP TECHNOLOGY INC,UNITED STATES OF AMERICA,Semiconductors, Manufacture of electrical machinery and apparatus n.e.c. (31) ,-0.07,-0.49,"-104,019,369","-92,728,768","-21,715","-1,226,079","-286,738","-3,903","-213,813","-9,539,796","1,443",4%
2012,MICROCHIP TECHNOLOGY INC,UNITED STATES OF AMERICA,Semiconductors, Manufacture of electrical machinery and apparatus n.e.c. (31) ,-0.07,-0.25,"-99,085,039","-87,263,134","-20,411","-1,154,150","-269,950","-3,671","-191,127","-10,183,886","1,290",4%
2019,MICRON TECHNOLOGY INC,UNITED STATES OF AMERICA,Semiconductors,Manufacture of electrical machinery and apparatus n.e.c. (31),-0.09,-0.27,"-2,020,402,379","-1,857,252,584","-433,732","-24,573,871","-5,748,668","-78,072","-3,779,595","-128,561,364","25,508",3%
2018,MICRON TECHNOLOGY INC,UNITED STATES OF AMERICA,Semiconductors,Manufacture of electrical machinery and apparatus n.e.c. (31),-0.07,-0.14,"-2,021,404,848","-1,869,064,554","-439,120","-24,693,078","-5,772,852","-78,794","-4,907,531","-116,482,039","33,121",4%
2017,MICRON TECHNOLOGY INC,UNITED STATES OF AMERICA,Semiconductors,Manufacture of electrical machinery and apparatus n.e.c. (31),-0.10,-0.34,"-2,000,545,366","-1,781,609,100","-415,247","-23,584,566","-5,518,390","-74,822","-3,281,592","-186,083,795","22,147",3%
2016,MICRON TECHNOLOGY INC,UNITED STATES OF AMERICA,Semiconductors,Manufacture of electrical machinery and apparatus n.e.c. (31),-0.15,-8.33,"-1,907,878,420","-1,754,835,723","-406,077","-23,271,466","-5,449,253","-73,447","-2,002,187","-121,853,779","13,513",2%
2015,MICRON TECHNOLOGY INC,UNITED STATES OF AMERICA,Semiconductors, Manufacture of electrical machinery and apparatus n.e.c. (31) ,-0.09,-0.48,"-1,415,494,843","-1,289,452,858","-301,042","-17,062,404","-3,991,605","-54,196","-2,586,495","-102,063,698","17,456",3%
2012,MICRON TECHNOLOGY INC,UNITED STATES OF AMERICA,Semiconductors, Manufacture of electrical machinery and apparatus n.e.c. (31) ,-0.11,NA,"-885,527,497","-666,388,443","-155,104","-8,824,522","-2,065,089","-27,968","-1,137,771","-206,936,278","7,679",25%
2019,MICROSOFT CORP,UNITED STATES OF AMERICA,Systems Software,Computer and related activities (72),-0.01,-0.02,"-906,774,861","-843,165,135","-212,678","-11,193,489","-2,611,431","-37,331","-156,184","-49,460,850","62,236",9%
2018,MICROSOFT CORP,UNITED STATES OF AMERICA,Systems Software,Computer and related activities (72),-0.01,-0.02,"-824,087,462","-768,658,882","-174,850","-10,114,963","-2,369,349","-31,818","-136,968","-42,597,822","-2,810",2%
2017,MICROSOFT CORP,UNITED STATES OF AMERICA,Systems Software,Computer and related activities (72),-0.01,-0.03,"-712,427,244","-697,010,328","-158,679","-9,182,100","-2,151,028","-28,873","-111,637","-3,782,414","-2,187",2%
2016,MICROSOFT CORP,UNITED STATES OF AMERICA,Systems Software,Computer and related activities (72),-0.01,-0.03,"-554,273,918","-542,285,446","-123,330","-7,128,919","-1,669,736","-22,440","-105,891","-2,936,094","-2,062",2%
2015,MICROSOFT CORP,UNITED STATES OF AMERICA,Systems Software, Computer and related activities (72) ,0.00,-0.01,"-385,744,143","-377,414,606","-85,480","-4,928,075","-1,153,625","-15,556","-115,742","-2,028,544","-2,513",4%
2014,MICROSOFT CORP,UNITED STATES OF AMERICA,Systems Software, Computer and related activities (72) ,0.00,-0.01,"-393,064,701","-384,570,723","-87,340","-5,036,600","-1,179,322","-15,887","-99,244","-2,073,733","-1,852",3%
2013,MICROSOFT CORP,UNITED STATES OF AMERICA,Systems Software, Computer and related activities (72) ,0.00,-0.01,"-265,821,033","-230,327,456","-52,162","-2,999,467","-702,006","-9,487","-80,974","-31,647,907","-1,573",4%
2012,MICROSOFT CORP,UNITED STATES OF AMERICA,Systems Software, Computer and related activities (72) ,-0.01,-0.01,"-384,163,023","-353,868,241","-91,121","-4,695,893","-1,094,340","-15,878","-80,195","-24,349,312","31,956",10%
2011,MICROSOFT CORP,UNITED STATES OF AMERICA,Systems Software, Computer and related activities (72) ,-0.01,-0.01,"-369,011,686","-340,653,826","-88,978","-4,519,247","-1,052,357","-15,427","-87,107","-22,629,456","34,710",12%
2010,MICROSOFT CORP,UNITED STATES OF AMERICA,Systems Software, Computer and related activities (72) ,-0.01,-0.01,"-316,973,455","-310,077,319","-80,040","-4,114,580","-958,743","-13,935","-71,810","-1,685,644","28,615",11%
2017,MILLERKNOLL INC,UNITED STATES OF AMERICA,Office Services & Supplies,Other service activities (93),-0.01,-0.12,"-24,753,014","-23,877,882","-5,673","-316,069","-73,362","-1,014","-2,191","-477,496",673,7%
2016,MILLERKNOLL INC,UNITED STATES OF AMERICA,Office Services & Supplies, Other service activities (93) ,-0.01,-0.13,"-27,853,750","-27,006,521","-6,296","-356,824","-82,953","-1,129","-2,178","-398,091",240,3%
2015,MILLERKNOLL INC,UNITED STATES OF AMERICA,Office Services & Supplies, Other service activities (93) ,-0.01,-0.07,"-13,172,183","-12,657,135","-3,022","-166,163","-38,302",-533,"-2,029","-305,261",262,5%
2014,MILLERKNOLL INC,UNITED STATES OF AMERICA,Office Services & Supplies, Other service activities (93) ,-0.01,-12.56,"-10,047,260","-9,519,212","-2,487","-125,079","-28,818",-420,"-1,630","-370,300",684,5%
2013,MILLERKNOLL INC,UNITED STATES OF AMERICA,Office Services & Supplies, Other service activities (93) ,-0.01,-0.21,"-23,907,860","-23,078,538","-5,601","-305,707","-71,246",-986,"-1,388","-445,113",720,2%
2012,MILLERKNOLL INC,UNITED STATES OF AMERICA,Office Services & Supplies, Other service activities (93) ,-0.01,-0.18,"-25,389,346","-24,509,512","-5,919","-324,795","-75,689","-1,045","-1,394","-471,695",704,1%
2011,MILLERKNOLL INC,UNITED STATES OF AMERICA,Office Services & Supplies, Other service activities (93) ,0.00,-0.05,"-6,904,134","-6,517,973","-1,792","-85,377","-19,507",-295,"-1,519","-278,343",673,4%
2010,MILLERKNOLL INC,UNITED STATES OF AMERICA,Office Services & Supplies, Other service activities (93) ,-0.02,-0.37,"-25,741,392","-25,184,713","-6,031","-334,187","-77,892","-1,070","-1,156","-136,964",622,1%
2019,MINERALS TECHNOLOGIES INC,UNITED STATES OF AMERICA,Specialty Chemicals,Chemicals nec,-0.17,-1.31,"-304,942,407","-162,403,178","-41,823","-2,178,227","-492,874","-7,034","-96,296","-139,731,714","8,738",7%
2018,MINERALS TECHNOLOGIES INC,UNITED STATES OF AMERICA,Specialty Chemicals,Chemicals nec,-0.19,-1.30,"-339,236,176","-202,762,009","-51,096","-2,715,155","-618,590","-8,716","-97,189","-132,992,240","8,819",7%
2017,MINERALS TECHNOLOGIES INC,UNITED STATES OF AMERICA,Specialty Chemicals,Chemicals nec,-0.18,-1.18,"-307,047,794","-188,103,206","-47,399","-2,518,849","-573,878","-8,086","-90,097","-115,714,455","8,175",7%
2016,MINERALS TECHNOLOGIES INC,UNITED STATES OF AMERICA,Specialty Chemicals,Chemicals nec,-0.19,-1.22,"-314,092,453","-169,408,952","-43,025","-2,269,836","-515,872","-7,302","-88,070","-141,767,387","7,991",7%
2015,MINERALS TECHNOLOGIES INC,UNITED STATES OF AMERICA,Specialty Chemicals, Chemicals nec ,-0.17,-1.19,"-305,511,983","-166,661,540","-42,769","-2,234,754","-506,231","-7,210","-95,729","-135,972,437","8,686",7%
2016,MOHAWK INDUSTRIES INC,UNITED STATES OF AMERICA,Home Furnishings, Manufacture of furniture; manufacturing n.e.c. (36) ,-0.09,-0.62,"-823,588,874","-775,011,413","-213,931","-10,301,354","-2,393,275","-36,394","-487,220","-35,259,578","114,291",15%
2015,MOHAWK INDUSTRIES INC,UNITED STATES OF AMERICA,Home Furnishings, Manufacture of furniture; manufacturing n.e.c. (36) ,-0.10,-0.92,"-839,929,120","-789,477,236","-213,238","-10,494,402","-2,440,916","-36,545","-434,107","-36,934,506","101,832",14%
2014,MOHAWK INDUSTRIES INC,UNITED STATES OF AMERICA,Home Furnishings, Manufacture of furniture; manufacturing n.e.c. (36) ,-0.09,-0.85,"-697,113,776","-641,595,362","-175,758","-8,528,226","-1,982,132","-29,977","-385,486","-44,507,262","90,426",15%
2013,MOHAWK INDUSTRIES INC,UNITED STATES OF AMERICA,Home Furnishings, Manufacture of furniture; manufacturing n.e.c. (36) ,-0.09,-1.06,"-696,382,906","-650,748,169","-174,103","-8,650,571","-2,013,047","-29,936","-335,726","-34,510,107","78,754",13%
2012,MOHAWK INDUSTRIES INC,UNITED STATES OF AMERICA,Home Furnishings, Manufacture of furniture; manufacturing n.e.c. (36) ,-0.08,-1.13,"-451,175,092","-413,565,061","-114,851","-5,496,941","-1,276,671","-19,499","-269,179","-30,496,034","63,143",15%
2011,MOHAWK INDUSTRIES INC,UNITED STATES OF AMERICA,Home Furnishings, Manufacture of furniture; manufacturing n.e.c. (36) ,-0.11,-1.78,"-602,980,068","-555,879,234","-149,284","-7,389,360","-1,719,220","-25,635","-294,244","-37,592,114","69,023",13%
2010,MOHAWK INDUSTRIES INC,UNITED STATES OF AMERICA,Home Furnishings, Manufacture of furniture; manufacturing n.e.c. (36) ,-0.12,-1.88,"-615,686,299","-583,073,969","-152,967","-7,751,458","-1,805,623","-26,481","-260,571","-22,676,354","61,124",12%
2019,MOLSON COORS BEVERAGE CO,UNITED STATES OF AMERICA,Brewers,Manufacture of beverages,-0.07,-0.47,"-697,841,916","-295,098,630","-77,656","-3,917,870","-912,631","-13,389","-77,572","-397,774,522","30,354",6%
2018,MOLSON COORS BEVERAGE CO,UNITED STATES OF AMERICA,Brewers,Manufacture of beverages,-0.04,-0.36,"-479,037,660","-314,288,113","-82,227","-4,172,960","-972,330","-14,207","-78,966","-159,459,755","30,899",8%
2017,MOLSON COORS BEVERAGE CO,UNITED STATES OF AMERICA,Brewers,Manufacture of beverages,-0.04,-0.28,"-482,044,032","-321,020,177","-83,991","-4,262,344","-993,156","-14,512","-80,676","-155,620,745","31,568",9%
2016,MOLSON COORS BEVERAGE CO,UNITED STATES OF AMERICA,Brewers,Manufacture of beverages,-0.02,-0.24,"-116,335,305","-62,324,024","-18,949","-825,729","-190,864","-3,105","-35,818","-52,950,831","14,016",14%
2015,MOLSON COORS BEVERAGE CO,UNITED STATES OF AMERICA,Brewers, Manufacture of beverages ,-0.04,-0.36,"-137,057,770","-69,903,569","-19,401","-927,397","-215,444","-3,281","-26,041","-65,972,828","10,190",9%
